DayStepNumber,QuantityProduced(kg)
0,0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.888888
7,4.444444
8,13.421377
9,13.421376
10,13.421376
11,9.911451
12,19.81526
13,35.082821
14,37.180099999999996
15,32.477103
16,31.598436000000003
17,29.037938000000004
18,30.061508000000003
19,23.467328000000002
20,16.646182
21,23.66299
22,18.884352
23,14.344470999999999
24,15.328483000000002
25,16.639795
26,18.581515000000003
27,15.859255999999998
28,15.13994
29,16.557875
30,16.206111999999997
31,16.874094999999997
32,15.111104999999998
33,18.122206000000002
34,14.926324999999999
35,12.433065
36,13.483913000000001
37,13.927077
38,14.696566
39,10.89744
40,11.755802000000001
41,12.388914999999999
42,8.043000000000001
43,8.512210000000001
44,10.133890000000001
45,10.340715000000001
46,10.854612000000001
47,10.93742
48,8.396985999999998
49,8.341478
50,7.813950999999999
51,10.358135
52,7.719093000000001
53,6.6218520000000005
54,7.032364
55,8.320394
56,11.808944
57,7.809747
58,8.369561999999998
59,5.622956
60,5.187619
61,3.6640949999999997
62,7.977187
63,6.1279
64,8.693154
65,10.016589
66,5.700429999999999
67,8.438370999999998
68,5.139875
69,3.3122130000000003
70,5.278086999999999
71,6.220181999999999
72,5.070791
73,6.504887
74,7.288309
75,5.803096999999999
76,4.9044550000000005
77,4.758591
78,4.049376
79,3.5555529999999997
80,4.191052
81,4.17107
82,4.493832
83,5.495163999999999
84,3.4786799999999998
85,4.598425000000001
86,5.810702
87,3.448526
88,5.201381
89,4.088171
90,3.110262
91,3.4035960000000003
92,3.126658
93,3.6247330000000004
94,3.7444960000000003
95,3.236713
96,3.3056289999999997
97,3.323288
98,3.8686879999999997
99,3.4584540000000006
100,3.6187190000000005
101,3.5345439999999995
102,3.172769
103,4.863087
104,3.6114580000000003
105,2.886131
106,3.895752
107,4.196836
108,3.0492489999999997
109,4.2611669999999995
110,4.986995
111,2.860961
112,3.739589
113,4.2273689999999995
114,1.257855
115,3.926649
116,3.9375500000000003
117,3.5238840000000002
118,3.9951060000000003
119,4.201023
120,3.5518909999999995
121,2.8998950000000003
122,4.669529
123,1.268279
124,3.555554
125,4.080994
126,4.165931
127,4.6768469999999995
128,4.791538000000001
129,4.493411999999999
130,3.248356
131,2.885366
132,1.599386
133,1.777777
134,4.555668000000001
135,2.960388
136,5.314922
137,5.6256390000000005
138,3.815359
139,3.5555540000000003
140,5.3333319999999995
141,2.503314
142,4.31062
143,6.910041999999999
144,3.2079850000000003
145,3.824542
146,4.444443
147,1.124147
148,5.714802
149,6.39745
150,5.921854
