DayStepNumber,MinPrice(cents/kg),MaxPrice(cents/kg),MeanPrice(cents/kg),MedianPrice(cents/kg),QuantityPurchased(kg)
0,-1,-1,-1,-1,0
1,641.295783938289,642.292490118577,641.3954545563178,641.295783938289,1.103826
2,631.9456218499051,2000000.0,5592.673808720473,1313.1976362442547,1.0469990000000113
3,1218.769043266301,2805.0490883590464,1847.5499839651354,1689.1891891891892,0.541106
4,1566.1707126076744,117647.05882352941,8207.989046446888,2894.356005788712,0.3167310000000009
5,2092.050209205021,105263.15789473684,10139.657311773137,5277.0448548812665,0.085156
6,1614.2050040355125,199999.99999999997,17798.043344997684,7547.169811320755,0.07216699999999998
7,2509.4102885821835,333333.3333333333,30293.502562276906,9950.248756218905,0.05910699999999999
8,2649.006622516556,500000.0,48036.80971674427,12121.212121212122,0.05154200000000002
9,2564.102564102564,1000000.0,59938.55752319821,11428.944618599791,0.066431
10,2265.0056625141565,1000000.0,66067.78809655776,9132.4200913242,0.07361599999999999
11,2801.1204481792715,2000000.0,51559.724354466234,7812.5,0.064319
12,2242.152466367713,2000000.0,55309.52548752304,6134.9693251533745,0.06608499999999995
13,1485.8841010401188,666666.6666666666,22690.243883698975,4444.444444444444,0.07954000000000003
14,1086.9565217391305,250000.0,15756.935976947361,3100.7826471549715,0.09619800000000006
15,837.5209380234505,2000000.0,23500.218238671787,3215.434083601286,0.1681470000000001
16,787.6082961407194,2000000.0,44215.76203996707,3200.0,0.19900200000000004
17,768.6395080707149,2000000.0,38210.31776820322,3163.9554194929665,0.2642620000000001
18,705.7163020465772,2000000.0,46433.14013725653,2865.3295128939826,0.44291700000000006
19,646.6214031684449,1000000.0,16789.682044436286,1530.221882172915,0.6078309999999999
20,638.060296698038,399999.99999999994,7911.87950198626,1080.4970286331713,0.7411719999999995
21,649.5615459564793,666666.6666666666,11331.583731916966,1104.158998895841,0.5558530000000002
22,594.3889681407513,666666.6666666666,8959.950782350494,861.8832148243913,1.431350999999999
23,548.2026783616571,333333.3333333333,3536.5767666193565,759.8784194528876,2.0426590000000004
24,548.9335006273526,1000000.0,6479.126717241846,713.0633200228181,2.202604
25,526.2811657127821,1000000.0,5195.462002615387,657.7865660534104,3.4482260000000013
26,519.0012110028257,60606.0606060606,1034.9477704854805,641.3339911539713,3.809202999999997
27,506.8657266611372,76923.07692307692,1115.7761146247472,633.5128286347798,3.930233
28,512.0852109791069,20000.0,766.3657246066922,621.1823170100425,4.525686000000001
29,501.88205771643663,111111.11111111111,957.9319701151654,609.1179433587265,4.6242469999999996
30,506.3291139240506,17699.11504424779,674.9632282392495,599.7451083289602,4.8830459999999976
31,507.8351712130006,222222.22222222222,1428.4106550456743,588.6393132291098,5.224840999999998
32,509.5325039276464,46511.62790697674,759.1494255407029,580.8657549144499,5.486655000000001
33,508.45303165120123,9569.377990430621,614.7099710845616,580.0090223625701,5.899402999999997
34,510.44591096364894,1936.108422071636,587.3089502593567,579.7101936324464,6.3687909999999945
35,509.4985078972269,4192.8721174004195,589.2680262183488,576.3024435223606,6.508898000000001
36,509.7879282218597,3257.328990228013,589.5975995724107,571.2109672505712,7.405323999999997
37,517.8887402356394,166666.66666666666,981.4908594672825,578.3318339545045,7.413789000000003
38,517.8999158412637,133333.33333333334,1312.2413581563944,577.3255394385509,7.349545000000001
39,514.4915108900703,24390.243902439022,706.8410937305462,574.4856565519052,7.661794999999997
40,522.8245596836911,4901.9607843137255,604.5751074858629,582.901554404145,7.669372000000004
41,525.3652930553276,1418.4397163120566,589.8357955267154,584.4962373054724,7.578210000000001
42,525.8176464402145,1721.170395869191,583.3609772052787,576.6089137897545,8.229628999999997
43,531.9526207532449,710.2272727272727,584.3212406676816,583.6135946915069,8.330267999999995
44,529.450694904037,657.1381632988335,589.0390337998356,588.9737184901217,7.915855000000007
45,533.3739713501981,659.576222277187,581.4875765338965,577.500608316649,8.791535999999999
46,533.9028296849973,649.0696668109043,587.1682446152588,583.4305717619603,8.461772999999996
47,538.4667160261156,702.1063189568706,589.8872701540139,587.3051728032528,8.374912000000004
48,530.2929868752485,664.1208699983397,581.2089339192316,579.0084770888436,8.938632
49,527.203711514129,2642.007926023778,583.9229953196335,575.1483813958362,8.958728000000011
50,530.4852171452823,749.6251874062967,574.9364828482766,571.8444583073405,9.260296999999994
51,527.6000791400119,54054.05405405405,686.8795037519727,571.178602661721,9.370514
52,530.2557704304429,6557.377049180328,596.1462216038432,580.5328001032059,8.64374
53,531.9714863283328,1470.5882352941176,586.0090844217127,582.1101942816028,8.659699000000002
54,529.7105287757454,658.6995389103228,578.426460098914,575.3721560279677,9.254102999999997
55,538.6117282703831,646.3659867854064,583.7647029049846,582.3687850331222,8.820680000000001
56,535.9236308825992,643.6847375196681,586.0488823452083,584.1500616602842,8.832834999999996
57,536.6966322286328,1005.6989607777406,586.8376709422569,583.8760963383436,9.095269999999994
58,534.391938315902,645.9948320413437,581.672088440105,579.1114526420566,9.049907000000001
59,535.0863782296285,649.2452523940918,583.0819391134172,580.1473574287869,8.905216
60,532.4459234608985,652.42211710977,580.1538440241078,577.7159408462215,9.033532000000001
61,534.9276274386406,643.3166547533953,583.4685632088939,578.5841229867917,9.270632999999991
62,537.3996574077183,651.5601245203793,583.2003179085195,581.4473566508632,9.350067000000006
63,535.6523931058385,644.7453255963894,580.8689759172352,577.7226080106718,9.512393999999993
64,534.991807937941,649.8194945848376,581.7777757554328,579.0984358387818,9.704209999999994
65,532.5948018747337,660.9931421961497,582.8617348065017,579.8978452440062,9.123374000000007
66,531.8088147311041,662.6356332311769,579.6732603213933,578.0532457228442,9.417335000000003
67,532.5380764724678,667.4453529117303,577.3042588665079,573.4827076937138,9.825066999999994
68,538.1109141554824,644.6067898581865,584.6720121473554,581.329290837989,9.689903999999993
69,538.5573395267428,646.8305304010349,582.5878068681417,579.3407102717108,9.675728000000005
70,538.5712022810073,646.6446328495474,584.9256922504209,580.9759476705863,9.528215000000001
71,545.6467619274972,650.994575045208,591.0944529825418,586.9774852207454,9.12826999999999
72,540.2667567111262,650.8062766649795,582.1511830514893,577.9929195867351,9.773809
73,543.1646128254744,651.5129578688287,590.7107390384236,588.9320136319268,9.061185999999992
74,540.8877319901288,649.1633006347374,588.2615743139555,586.1855658907336,9.140890999999993
75,546.392104634088,659.4856012310398,592.7070909424137,591.8716296198869,8.929096000000003
76,543.6814026980189,655.4511688879178,589.19276642705,586.9583790330612,9.307616000000001
77,540.9974640743872,652.552204176334,592.7690667669908,590.0624148612728,8.89011499999999
78,544.3855701531538,652.079408781336,592.3955767459171,589.7530412702304,9.03241
79,537.0749555234802,660.0660066006601,587.3129207315731,583.9131929547411,9.192907999999997
80,540.0609497357559,649.3038020344852,589.5919013218318,587.5679025656041,9.13188099999999
81,538.7543998275986,659.3406593406593,588.8868707526563,587.3582481430751,9.250615000000005
82,545.404963185165,661.4242669214375,594.0779277624562,591.2961293668664,9.301305000000006
83,546.3485703879074,652.4575902566332,595.5872049523385,591.9105582984992,8.954943000000007
84,545.7323728443571,657.1381632988335,595.8632561708422,593.2801386850157,9.019896999999998
85,552.5065379940329,656.8683799983578,598.0810985662364,594.8545085014623,9.332071999999998
86,554.8042581226811,668.101848415114,602.8679387645288,599.9454666422305,8.974845999999985
87,554.8812207386857,666.2225183211192,606.4226897337995,604.3939445246322,8.554613000000003
88,560.9648595584405,668.002672010688,609.4172136175031,608.9969198809629,8.592363000000004
89,554.7850208044382,668.6975258191544,609.6275398951354,608.7471445490928,8.551835000000002
90,559.342772242615,668.2010542727745,608.6905818149824,604.197620020788,8.954057000000004
91,561.3641147989615,674.6626686656672,615.656994757591,613.0211994273129,8.555900999999997
92,565.3710247349824,674.0058413839587,616.0693204923168,613.5331192143856,8.382090999999997
93,565.9109397658543,675.8786422349054,613.4790287706714,610.7559683616846,8.746908999999995
94,568.4038509360901,678.5283474065138,621.6496766448383,619.0808855214493,8.334397999999998
95,568.0204487361545,689.7608828939301,624.3939190321614,625.3517628107362,8.210574999999997
96,568.4038509360901,683.5789153881209,626.4539280824889,624.9132095119237,8.140034000000002
97,575.6168694117196,687.0229007633587,629.7184469651052,627.7228220010484,8.074350000000006
98,578.7037037037037,691.9351118628431,633.5141724377131,633.454305620055,7.900764999999996
99,576.6034664043686,693.9090208172706,633.7587578189625,632.5610856342762,7.864910000000001
100,583.8989854755127,694.2837306179125,640.6422182124005,640.6767023656532,7.783646000000005
101,584.5816587504568,701.8036353428311,641.7911761366081,640.9571700107911,7.596196000000003
102,584.4079947013676,708.4382871536524,646.2320760851311,646.5006357589848,7.553776999999995
103,591.6503346522205,706.2701090794945,651.3482594667603,649.5076385565047,7.426794999999999
104,585.8230814294084,712.9842351263566,652.8683847851731,651.548358041064,7.290173000000001
105,595.9949141767323,713.8891092250337,659.3902957323425,660.317833125788,7.261852999999997
106,598.0637685493216,725.5139056831923,663.0804526982799,663.0530293055986,7.099550999999997
107,591.7378601279632,714.0590288797207,661.9653740838392,660.5262628047305,7.0570010000000005
108,602.7727546714888,728.922005345428,668.5925840876323,668.1216885554811,7.034123000000007
109,600.7449237053946,794.7402644317608,670.3504080414357,669.6578318889328,6.938253000000003
110,600.2851354393337,792.7927927927927,672.3768309689463,672.8544381362236,6.908846999999993
111,607.0493607011421,806.9071249899137,676.3538897822623,675.0421910862804,6.878308000000005
112,599.0041555913294,813.4289728610515,676.0037057760936,674.9662858541672,6.819836999999999
113,596.0659646334194,774.3752199929602,678.4310911678743,678.5718325700267,6.816242000000001
114,614.887975097037,852.5809951945434,684.1928665832637,682.6456349953231,6.765641999999996
115,607.6125168178464,874.0622040935247,684.1644004893627,681.5238905777607,6.7032270000000045
116,605.815831987076,830.1260282242849,685.876952459753,683.4517362104091,6.703088000000001
117,630.343143048497,895.0366151342555,694.4605416631341,691.0372469076084,6.70323
118,610.6745918658144,881.186664708474,691.0629831166012,690.5547456456687,6.587412000000004
119,609.9653082230948,767.0182166826462,691.4580281979247,689.9724173246764,6.633042000000001
120,626.7743243741473,906.4286710361176,697.0940276965147,696.351890863833,6.611491000000001
121,634.8969226172692,897.0621215519175,699.186334918027,696.9423602592533,6.531625999999998
122,611.6207951070336,928.6377598399886,698.8027548219776,696.2226106157475,6.505151999999996
123,633.6663187714328,918.4142048063677,711.431819860715,710.647875086134,6.536251999999995
124,634.9654296599407,939.7137487350006,707.268053982228,705.7163410989983,6.390432
125,605.7424383152284,937.4267635340989,705.1992599743057,703.0810601799775,6.450759000000004
126,603.6596868515375,944.4242644387941,717.9641308066244,714.4048502157079,6.470453000000003
127,637.0328425821065,934.2156481121059,714.3528109991142,715.1683336604251,6.324362999999996
128,637.1230355373071,961.8467457518436,717.7230282132703,715.5379138634585,6.358600000000001
129,638.3431449038939,965.9969088098918,719.5034640600279,718.726462270128,6.322807999999997
130,639.8407507464808,920.104278484895,721.7107080226599,722.2940080418718,6.2921230000000055
131,639.2953544537577,852.0526723470178,717.4703543418075,711.9690610834084,6.265344000000002
132,641.0713013747418,946.1426491994177,737.5273983761859,733.7026392106754,6.299548999999998
133,643.5926773455377,914.9130832570906,734.6929873388517,735.0238993070384,6.118856999999998
134,644.6991404011461,921.588203670993,726.1256915766702,720.4870501803048,6.149236000000005
135,692.6167059149467,13513.513513513513,803.7413353072207,750.5253677574301,6.222711000000003
136,647.0630526996908,4608.294930875576,744.2706820347568,728.0291211648466,5.957684
137,646.9235192639447,965.79476861167,734.8864370820509,725.854049958042,6.175075000000001
138,645.8557588805168,962.2323791195574,750.269106960925,742.1976564324715,6.172757000000001
139,648.8824801730353,7017.543859649123,758.3758906554026,732.0048800325335,6.0320680000000015
140,646.5052797931183,1333.3333333333335,732.466209848216,723.3065823390291,6.140673000000004
141,645.8557588805168,40816.32653061225,842.2736770453387,742.8868583314761,6.225939999999994
142,648.3682731791658,1767.8255745433119,757.6607718222066,740.6035919274208,6.071885000000002
143,640.1638819537802,1695.8733747880158,744.0175944124553,725.8210851025221,6.121217000000006
144,648.6954014703763,1956.9471624266143,785.460409217549,749.232037161909,6.2281100000000045
145,649.2101276779917,2297.0903522205203,774.6609768968848,742.4456158586383,6.0372239999999975
146,649.5615459564793,2840.909090909091,786.2642246918665,731.2317192070199,6.14904600000001
147,661.4728796119359,6369.426751592357,856.3733205102421,772.3498848594691,6.259438000000004
148,651.748859439496,2398.0815347721823,762.7475973389634,738.7343018960847,5.890916999999999
149,644.9116471043467,2919.7080291970806,758.7017046855145,727.9197670656746,6.226425999999997
150,650.3360069369173,2371.5415019762845,763.6329332066306,726.8916668502918,6.3156790000000065
