DayStepNumber,MinPrice(cents/egg),MaxPrice(cents/egg),MeanPrice(cents/egg),MedianPrice(cents/egg),QuantityPurchased(egg)
0,-1,-1,-1,-1,0
1,-1,-1,-1,-1,0
2,11.469419659831972,11.469419659831972,11.469419659831972,11.469419659831972,44.11731500000001
3,9.474737979861194,9.474737979861194,9.474737979861194,9.474737979861194,44.11731500000001
4,8.477397139875805,10.472078819846583,9.474737979861194,9.474737979861194,88.23463000000004
5,9.474737979861194,16.456123859758915,13.464101339802749,14.461442179788138,132.35194500000006
6,16.456123859758915,16.456123859758915,16.456123859758915,16.456123859758915,44.11731500000001
7,16.456123859758915,16.456123859758915,16.456123859758915,16.456123859758915,0
8,11.687585008919088,16.748774431693146,16.31296676253259,16.456123859758915,61.21665300000003
9,9.73965417409924,17.679261900120544,14.65601989540054,16.748774431693146,48.76480300000001
10,8.765688756689316,17.679261900120544,15.537556485059232,17.679261900120544,67.917602
11,9.73965417409924,20.773942677137995,16.644017046942736,17.679261900120544,119.50439899999998
12,16.557412095968708,23.847990308176737,20.08261227885858,20.470724305402733,161.50332099999983
13,17.679261900120544,25.550332878253517,23.442683569064588,23.847990308176737,69.88665
14,20.470724305402733,29.299438814214,25.334326556357848,25.550332878253517,140.9175719999999
15,23.497569742092416,34.509711895670236,29.441544096092063,28.845111521249308,165.18147799999997
16,25.52822391733497,38.401306536323546,32.640608005069346,34.45738482931235,95.85829100000002
17,28.562252011161426,42.36670786436722,37.957695803087454,38.49685090486057,121.076339
18,34.45738482931235,51.44857014999805,43.29443526822779,42.35518256948381,150.72464999999994
19,38.401306536323546,56.30020772095687,50.662696934922586,51.44857014999805,79.56330099999998
20,42.35518256948381,61.32591251222179,56.80569015150328,58.78325275672779,103.78269300000001
21,56.26142142463415,77.46773468850223,63.269001515020825,61.30446469413002,161.88673200000002
22,56.30020772095687,81.35027770983962,72.0444403977204,74.32071227441213,57.68664500000001
23,74.41846696313449,89.54776703855492,83.69390446899692,83.38944522464115,74.670186
24,74.41187280657336,105.62256070372838,87.62673386443016,86.9895415367057,71.451238
25,81.31631934015006,111.29293306652858,98.998770837195,105.62256070372838,44.583957000000005
26,75.79312535644513,116.98822250444708,102.57033982261991,105.42554907212298,48.800284
27,84.59382683370764,159.14275104768979,106.71277808373252,116.50686072527365,51.76261499999998
28,99.09820632246557,128.47469564688728,121.42714095227305,123.46955832806144,64.068011
29,91.5154328868021,128.47469564688728,111.35447519980755,116.51412473263323,82.63525700000004
30,92.4550748548371,137.73613241918582,109.09933648727088,98.57790073386273,110.26784200000004
31,92.4550748548371,200.6823198876179,131.61647911113002,132.43974487018923,69.20891699999999
32,98.74156267282261,138.63545611553215,121.35636615102386,128.34956717673734,74.59960099999998
33,98.74156267282261,144.38846576805955,116.00734982570403,103.5772204778387,101.80462499999994
34,105.50602633763594,144.38846576805955,134.64876036504305,135.3592278979174,48.595058
35,103.43874476235372,143.44582051359203,126.36757689996071,135.3592278979174,75.743075
36,103.43874476235372,148.50152359819535,124.16781494179317,126.58195337601408,81.802679
37,106.63601536007616,148.62110410752132,137.75885308263548,139.7640912153393,59.07166700000002
38,108.6419941333323,148.50152359819535,130.50356122372986,129.41633234114144,53.33423399999999
39,108.6419941333323,149.39322405230905,127.33323335343223,129.41633234114144,84.19418599999999
40,108.6419941333323,149.66755906852552,139.94466672515742,142.5049126693578,78.93113200000002
41,104.7103070066438,149.81991367209073,129.42970067600493,135.65837460448364,91.82720100000006
42,104.99850002142826,149.73118702087055,120.19318973387321,113.90183048287076,77.12131799999999
43,135.292803415833,149.73118702087055,142.5789661229843,143.53804555640832,44.522856000000004
44,106.64068793954358,149.73118702087055,131.50476590553552,135.292803415833,63.67387900000001
45,106.64068793954358,149.73118702087055,129.67977494812433,132.654681807479,65.94568199999999
46,111.51465834521579,148.44673568954755,142.26984690168882,147.55737887087636,59.32120999999999
47,109.55703981934886,149.35560284257437,133.0355019257502,136.22369946336184,97.00207699999997
48,109.55703981934886,148.3480511774127,127.19974239544617,118.12332544540708,130.732495
49,109.55703981934886,148.3480511774127,142.06852011347107,142.54504274866437,71.21858300000002
50,110.84052830584194,148.3480511774127,132.88685062587234,136.28526588285285,88.44172600000003
51,110.84052830584194,149.27114287757132,130.31773168325117,132.48898161254183,107.82323000000001
52,110.87570833096099,147.48174913354472,141.39975985372615,144.5438126365637,76.624354
53,112.65238347096637,146.5968405793852,132.3172497309086,136.4035285475051,85.29505700000001
54,112.65238347096637,149.77128676417055,129.16506024629402,132.53898494195428,104.571743
55,112.65238347096637,148.29472137192536,139.33395272546593,142.65952562223757,60.115306999999994
56,113.4714679375471,150.92841651280926,133.80115994449164,136.41790348565348,101.322038
57,114.38524724767576,147.97990421561298,130.25410828391549,132.527687386118,146.558811
58,132.527687386118,175.01988862370723,144.41221798107924,145.4699964443946,93.41070099999999
59,115.43987681324882,164.6799508493685,135.79040158540707,138.9599048389626,134.068017
60,115.43987681324882,196.9057665260197,133.52381055221807,132.30439495798998,106.26874300000003
61,115.43987681324882,146.40592258399818,137.48130012644634,141.34216035788828,73.01320800000002
62,116.6449426059643,148.64236834331496,136.6975086791001,141.34216035788828,100.48805200000001
63,116.6449426059643,146.24357786911122,133.3635939509751,134.33716869287088,71.96398500000001
64,116.6449426059643,145.39598036035835,139.76800203951439,142.80190848002587,111.14112
65,116.6449426059643,148.84781698277905,133.4056310872043,136.3633989444615,139.07569099999995
66,116.60140367811525,145.57801708269758,129.50389297140467,122.6051048115105,156.9501190000001
67,132.51984746268084,145.33094556442805,141.58623092527222,144.22915301339523,82.63025700000001
68,117.45872084964462,145.48799314755271,134.68189179510165,136.35366445210852,137.24494299999995
69,117.45872084964462,146.2789519010083,132.35306900254471,132.39454483942993,147.18956599999996
70,117.45872084964462,144.4058216175515,139.32970242228836,141.4424577958368,136.131971
71,118.28830517071222,147.52556597568696,135.13719059175205,136.27068239784487,123.53541200000002
72,118.28830517071222,148.07867913818208,132.59477170037786,132.48836306393784,152.72287299999996
73,118.28830517071222,144.75296355844142,137.75284178356102,140.28702463020602,143.16203099999996
74,118.28830517071222,151.85282781229205,136.6658560907645,143.17747517469542,164.264628
75,118.32309550966316,145.8787684914364,132.78616909292202,134.35678518848863,181.86747999999997
76,123.4729779934002,2000000.0,77057.63320479082,141.7846280474877,151.951705
77,119.27420532295059,143.488242660359,133.84085717905265,136.23518197015704,144.54043400000003
78,119.27420532295059,144.3534580224182,133.64056153222242,132.41881943115226,146.38654399999996
79,136.14635423656898,143.81336373876968,141.26854596852527,143.19618356600049,108.23710699999998
80,119.41994260706105,143.95676333073754,133.34724024345175,134.2751642488129,107.71382399999996
81,119.41994260706105,143.59123286787187,132.54164654178714,132.28035030066445,153.44961999999995
82,119.41994260706105,143.36021736331585,138.1485833625616,140.25511751671533,113.229312
83,119.41994260706105,144.8983698933387,132.90715343753362,132.40826238278586,112.76836200000004
84,120.44597324875348,144.66975574226038,131.94616044074436,124.78675140769711,204.01531599999996
85,132.40826238278586,143.83528910661119,140.11852212166687,140.2447404577038,135.977266
86,120.34075818312108,143.8177178182721,134.61349662783306,136.2712310466456,177.806132
87,120.34075818312108,144.1383728379244,133.75087629178284,132.8208368377678,218.243067
88,132.23288099384172,143.42874548643047,139.52083046881393,140.21498965205905,102.60915
89,121.29941664380179,145.87378396595608,136.08189158875632,138.74625909357013,204.8916030000001
90,121.29941664380179,144.63143343452458,133.16702468865464,132.23923345379237,197.579785
91,124.98022386338668,143.18747715368076,140.09894998804765,142.22317414959946,105.45144600000002
92,121.29941664380179,146.31267266135313,135.18629952681744,136.16194233444804,183.793022
93,121.26160035996485,153.06903413439463,132.7078841315204,133.24321841064872,214.39651900000007
94,136.15215581071368,142.479405738051,140.73255855825468,142.18670531122726,151.22020199999997
95,122.33699930815659,150.99404412381512,135.59692393362428,136.33660079824074,208.11028100000001
96,122.33699930815659,149.49058209332813,133.4263906653319,133.1707595249232,174.907847
97,124.78607276506989,143.3909149494094,139.18162371744646,142.13107966235395,170.768353
98,122.30431424452878,142.28141907547285,135.5627066323856,139.19480635193491,150.93823
99,122.30431424452878,142.8855575987108,134.36573057161164,133.26670543119874,161.42540800000003
100,122.30431424452878,175.6440281030445,139.84287610629846,141.29200111410245,235.407691
