DayStepNumber,MinPrice(cents/kg),MaxPrice(cents/kg),MeanPrice(cents/kg),MedianPrice(cents/kg),QuantityPurchased(kg)
0,-1,-1,-1,-1,0
1,-1,-1,-1,-1,0
2,65.72504584321948,109.7604478226271,96.4730507454951,108.08863324004815,23.92553700000001
3,104.38685769461625,140.77765577047612,122.58225673254618,122.58225673254618,0.073836
4,104.38685769461625,140.77765577047612,122.58225673254618,122.58225673254618,0
5,66.60524183253223,2000000.0,8526.726562625136,90.14693951140357,23.964025000000024
6,114.86771068652601,852.8784648187634,483.8730877526447,483.8730877526447,0.028462
7,50.00750112516877,170.47391749062393,83.23611321199094,77.99680141557033,24.144486000000004
8,56.525917133005485,2000000.0,5769.543000139446,91.65398786501201,20.215093999999993
9,44.502462469589986,2000000.0,5023.713872422024,90.63130656982233,24.545534000000014
10,83.82440463716607,782.7788649706458,117.63751347219736,100.87424344317418,7.570815000000001
11,59.2323487600695,2000000.0,26312.35934847319,93.56987798487911,15.620091
12,83.71541909226727,1299.545159194282,122.94647773637163,96.53648542835383,13.866058999999998
13,50.91952169595954,2000000.0,11939.400958287602,92.7268435782446,12.705366999999997
14,82.13166879817902,1381.2154696132595,114.92880838692042,97.80190224699871,26.310776999999977
15,46.16236843724995,2000000.0,29539.06519904139,108.0792874194133,20.872919000000017
16,87.78744902841241,2000000.0,47454.12644187521,109.75571513688105,19.37839599999999
17,102.2704029453876,2000000.0,31706.834818528074,132.55583501778918,22.051517999999998
18,117.83073614752409,217.73842357381332,151.8275190895939,150.19100757593336,19.67001299999998
19,129.23043277283776,2000000.0,12660.203766740577,153.3676067723344,19.673618
20,141.96014196014195,771.3073659853452,192.25092435040946,191.58661083285438,21.202408000000002
21,172.98544039210034,3110.4199066874025,236.51404659290483,215.79408037708504,19.077617999999998
22,192.1162477950294,2000000.0,29550.650345421695,266.33860514667646,15.679360000000008
23,218.48787392299727,2000000.0,13370.897262451555,284.236878641785,17.056447999999996
24,255.21570052384104,222222.22222222222,2140.465864388334,315.73984232984935,13.811546000000003
25,274.3202002537462,550.6607929515419,362.95436212515807,379.228763413511,11.178386000000001
26,315.5111596297161,2000000.0,15384.671504099328,415.4012190223098,14.540581999999997
27,377.90911285835756,2000000.0,49660.395061445604,485.01214639825946,10.366394000000001
28,468.45584694190273,917.8522257916476,581.3120904374152,591.1613250266334,8.734203
29,466.7119235804684,736.9768434118149,595.6677571699895,612.5711553689621,8.283538000000002
30,543.7030359076356,2000000.0,18040.958363809605,677.9425313331132,10.212245000000006
31,600.5578062335865,2000000.0,21097.464543720616,659.8793594356694,7.3673660000000005
32,688.2978980973232,991.4351023105945,824.6894556481246,828.7547192977071,11.877764
33,671.4739225641351,989.0059340356041,810.4319554323162,800.6405124099279,8.909162
34,749.5444578941248,2000000.0,17541.52615560479,863.9349156590536,10.436992000000002
35,779.377206759326,2000000.0,27958.331637200623,923.8393483178136,11.550453999999991
36,758.3345256832165,1201.923076923077,919.1281177272363,895.9949343042583,11.239523999999998
37,816.1430734292203,1114.4692104268984,952.9984546894802,929.3410391194494,9.597071
38,851.5646021153102,1287.001287001287,1028.2498226399164,994.8777023557194,10.104321999999996
39,857.7051791608274,1293.6610608020699,992.7282143230537,943.1482598141534,7.4076200000000005
40,864.3606177732113,1194.278572420497,1017.2820309762716,954.8058561425844,5.786427000000003
41,871.2672178997823,1327.9953129577189,1011.5671368242636,957.473694382209,9.48071200000001
42,872.9519204942251,1201.0044764712304,959.1485525672261,949.7234528016743,7.892288999999999
43,932.6210104545664,1235.3454122662533,1040.7939519387614,986.3931790236059,6.151758000000001
44,879.2750301138991,1347.1531080746706,1035.3970903348577,982.488585794371,10.90098600000001
45,932.9063815839237,2000000.0,14580.831921710334,997.8761664636943,8.155253
46,938.8495962946735,1353.9128080151638,1027.5974507689234,990.9908581734685,6.402544000000001
47,874.9174296675751,1332.6786841551518,1016.3892967178383,983.2402234636872,6.851664999999997
48,892.1128449624874,2000000.0,16760.836428042323,963.4644152024543,7.455843000000001
49,935.768280379571,2000000.0,20659.981282264736,1009.1520557943616,5.8177290000000035
50,903.2517061421115,2000000.0,14125.444968597238,1006.6945185483465,9.093379000000004
51,904.916261480281,1322.6813396116606,1046.9813670581912,991.0610182666148,7.925443000000002
52,920.0236577511994,1344.9037753370264,1038.5836347253203,983.0663789077255,8.357359
53,914.926162599534,1325.4744916664317,1127.8960894920074,1145.9207268411467,6.682324
54,914.1890324605329,2000000.0,14481.635575687242,990.480382985748,7.4159700000000015
55,919.8838646620865,1227.8978388998034,1031.7663269457175,994.5750452079566,7.8998089999999985
56,924.004668655168,1308.508028241965,1081.484111881946,1022.5480510927399,7.401954
57,916.3466052752151,1311.411710420866,1059.8824451080598,1001.0248587839931,6.3934690000000005
58,928.9955918248387,1314.800901577761,1051.0888956453334,1008.5389632219458,6.543744999999999
59,930.8329092872301,1310.9449960950574,1073.4356907142826,1019.0374306686332,8.491469
60,932.7087328785068,1307.044133596596,1032.7252004379025,995.6336068326857,8.842158000000001
61,938.3027487655935,1213.2323205090183,1044.172172979662,1001.6223460534668,8.399359000000002
62,935.4665639487694,2000000.0,11245.059672405303,1129.862700228833,10.016047
63,939.7051034529892,2000000.0,12480.355240331079,1000.2750756458026,8.333699
64,946.8317552804078,1213.4286099501146,1043.760889908251,997.839097357825,7.507851000000002
65,940.4522720471936,1287.6564652332754,1103.5290789466062,1129.524223510547,7.207314000000002
66,941.6541316603686,1286.3765442586343,1039.7775516935378,991.3679312713984,7.248875000000001
67,940.2394845275297,2000000.0,29414.55116760162,1029.4622285406147,6.892602000000003
68,946.8166177862965,1289.0209045564086,1082.6724347712845,1092.5957941448146,10.519409999999999
69,942.0271405657255,1279.8109817626935,1020.1222538595867,986.4435775701611,6.510189999999998
70,942.1769118339836,1280.0386426760053,1070.7860829941344,1014.6862483311081,9.799968999999995
71,944.9480278584678,1288.5121979154737,1096.6194682858634,1119.1677175283733,8.699146
72,944.9157092236658,1267.9525005486332,1072.9359455369931,1008.1124620784858,8.875972000000003
73,967.1535080738954,1191.2789390874352,1058.0089732671374,1023.6128882168198,6.406602000000002
74,949.899582044184,2000000.0,11914.233354659133,1127.8015069347794,8.942385000000003
75,950.8200823210018,1262.6875819532804,1044.3934661186158,996.2503529549585,6.945352000000005
76,955.4332708471912,1262.6557860032267,1063.5964014155213,1019.0166725698531,7.378586000000004
77,951.0546516762338,1263.474824592059,1083.8224504523278,1081.5373657970404,7.7073589999999985
78,952.0204627048852,1252.295875772249,1019.950474875216,993.9634900240005,6.888467
79,970.3620288952247,1183.8630361533558,1083.8309946665497,1118.2680264805867,6.206793999999999
80,963.4942725618242,2000000.0,12855.530879445709,1119.6373787425464,8.254566000000004
81,963.5426908404452,1255.5766302460395,1074.575157404829,1011.6255354538291,7.277843999999998
82,964.8370497427101,2000000.0,13647.775798891864,1049.0034467256107,7.500581000000004
83,966.6136724960254,1245.7347126685804,1076.1761296011894,1054.206641961855,10.209415
84,963.7215987977982,1245.5199410284436,1048.1186410468338,1001.15350294905,7.0271680000000005
85,962.222315190562,1237.6237623762377,1056.3770505223963,1019.3901010714441,8.972892000000003
86,965.1094605160282,1240.985295494989,1095.3576566369832,1116.1802196907938,9.902422
87,965.4373431164317,2000000.0,11027.749563708252,1009.6038356538528,9.242789000000005
88,975.2853818020614,1249.6528742016108,1083.0636412802087,1110.383586693304,8.034227999999999
89,971.6971131762128,1237.8152560730312,1103.5841037060525,1120.247884638303,9.99427900000001
90,970.7815846954172,2000000.0,15253.165511139281,1015.5119449592526,7.069452999999999
91,977.5404129512184,1170.2293649555313,1051.1746937545622,1020.2780257620202,7.978801000000001
92,972.0626664815118,1233.5295766750771,1087.6014216866631,1107.105856754888,9.082481000000001
93,971.4909387480959,1227.4779711542676,1050.7837501784577,1008.7335085344163,7.127953
94,993.168610503429,1172.069825436409,1074.9639456401076,1046.7507160529738,6.541308
95,975.676789885942,1230.9997859130808,1076.7863079829883,1064.3449783334845,10.39891600000001
96,979.3734398700539,2000000.0,11906.177039266688,1016.4314989241079,8.665756999999997
97,985.8653046680129,2000000.0,13103.096013034612,1030.8405605519872,8.140789
98,979.3068210849017,1220.303777748929,1102.3502808124294,1115.4489682097044,9.01777
