DayStepNumber,MinHourWage(cents),MaxHourWage(cents),MeanHourWage(cents),MedianHourWage(cents),MinHoursPerDay,MaxHoursPerDay,MeanHoursPerDay,MedianHoursPerDay,MinDailyWage(cents),MaxDailyWage(cents),MeanDailyWage(cents),MedianDailyWage(cents),Quantity
32,65,93,75.86538461538461,72,4,4,4.0,4,260,372,303.46153846153845,288,260
33,65,93,75.81007751937985,72,4,4,4.0,4,260,372,303.2403100775194,288,258
34,65,93,75.32342007434944,72,4,4,4.0,4,260,372,301.29368029739777,288,269
35,65,93,75.10646387832699,72,4,4,4.0,4,260,372,300.42585551330797,288,263
36,65,91,74.6726618705036,72,4,4,4.0,4,260,364,298.6906474820144,288,278
37,65,91,74.33584905660378,72,4,4,4.0,4,260,364,297.3433962264151,288,265
38,65,91,73.64341085271317,72,4,4,4.0,4,260,364,294.5736434108527,288,258
39,65,91,73.40234375,71,4,4,4.0,4,260,364,293.609375,284,256
40,66,91,73.95061728395062,73,4,4,4.0,4,264,364,295.8024691358025,292,243
41,66,91,74.31320754716981,73,4,4,4.0,4,264,364,297.25283018867924,292,265
42,66,91,74.46616541353383,73,4,4,4.0,4,264,364,297.8646616541353,292,266
43,66,91,74.13469387755102,73,4,4,4.0,4,264,364,296.53877551020406,292,245
44,65,91,73.9063829787234,73,4,4,4.0,4,260,364,295.6255319148936,292,235
45,65,84,73.33039647577093,73,4,4,4.0,4,260,336,293.3215859030837,292,227
46,65,84,74.45812807881774,74,4,4,4.0,4,260,336,297.83251231527095,296,203
47,65,84,74.3157894736842,74,4,4,4.0,4,260,336,297.2631578947368,296,209
48,65,84,72.8529411764706,71,4,4,4.0,4,260,336,291.4117647058824,284,272
49,65,84,72.58561643835617,71,4,4,4.0,4,260,336,290.3424657534247,284,292
50,65,83,72.73076923076923,71,4,4,4.0,4,260,332,290.9230769230769,284,260
51,65,83,72.703007518797,71,4,4,4.0,4,260,332,290.812030075188,284,266
52,64,83,71.91197183098592,69,4,4,4.0,4,256,332,287.6478873239437,276,284
53,64,83,71.79865771812081,69,4,4,4.0,4,256,332,287.19463087248323,276,298
54,64,83,71.8114478114478,69,4,4,4.0,4,256,332,287.2457912457912,276,297
55,64,83,71.5993031358885,69,4,4,4.0,4,256,332,286.397212543554,276,287
56,64,83,71.38888888888889,69,4,4,4.0,4,256,332,285.55555555555554,276,288
57,62,83,70.8086642599278,69,4,4,4.0,4,248,332,283.2346570397112,276,277
58,62,81,71.02611940298507,69,4,4,4.0,4,248,324,284.1044776119403,276,268
59,62,81,71.74295774647888,70,4,4,4.0,4,248,324,286.9718309859155,280,284
60,62,81,71.17610062893081,70,4,4,4.0,4,248,324,284.70440251572325,280,318
61,62,81,70.92690058479532,69,4,4,4.0,4,248,324,283.7076023391813,276,342
62,62,81,70.77971014492753,70,4,4,4.0,4,248,324,283.11884057971014,280,345
63,62,81,70.29051987767583,70,4,4,4.0,4,248,324,281.16207951070334,280,327
64,62,81,70.17377049180328,70,4,4,4.0,4,248,324,280.6950819672131,280,305
65,62,80,70.08156028368795,70,4,4,4.0,4,248,320,280.3262411347518,280,282
66,62,80,69.28025477707007,69,4,4,4.0,4,248,320,277.1210191082803,276,314
67,62,80,69.0531561461794,69,4,4,4.0,4,248,320,276.2126245847176,276,301
68,62,80,69.20295202952029,69,4,4,4.0,4,248,320,276.81180811808116,276,271
69,62,80,68.99335548172758,68,4,4,4.0,4,248,320,275.9734219269103,272,301
70,63,80,68.60355029585799,68,4,4,4.0,4,252,320,274.41420118343194,272,338
71,63,80,68.01983002832861,67,4,4,4.0,4,252,320,272.07932011331445,268,353
72,60,78,67.85286103542235,67,4,4,4.0,4,240,312,271.4114441416894,268,367
73,60,76,67.70809248554913,66,4,4,4.0,4,240,304,270.8323699421965,264,346
74,60,76,67.47398843930635,66,4,4,4.0,4,240,304,269.8959537572254,264,346
75,60,76,66.67880794701986,66,4,4,4.0,4,240,304,266.71523178807945,264,302
76,60,73,66.28716216216216,66,4,4,4.0,4,240,292,265.14864864864865,264,296
77,60,73,66.6907894736842,66,4,4,4.0,4,240,292,266.7631578947368,264,304
78,60,73,66.25625,66,4,4,4.0,4,240,292,265.025,264,320
79,60,73,66.42939481268012,66,4,4,4.0,4,240,292,265.71757925072046,264,347
80,60,73,66.37537537537537,66,4,4,4.0,4,240,292,265.5015015015015,264,333
81,60,73,66.25513196480938,66,4,4,4.0,4,240,292,265.0205278592375,264,341
82,60,73,66.09510086455332,66,4,4,4.0,4,240,292,264.38040345821327,264,347
