DayStepNumber,QuantityProduced(kg)
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,31.270358
6,0.0
7,24.468562
8,33.876221
9,54.762927000000005
10,79.42259200000001
11,112.75086800000001
12,63.966734
13,114.84101300000002
14,101.10151300000001
15,145.390404
16,149.02643399999997
17,97.67292200000001
18,139.19440299999997
19,131.71713
20,96.06313600000001
21,101.330701
22,108.83577
23,62.318580000000004
24,87.965766
25,88.750236
26,55.54433
27,70.061988
28,66.822011
29,58.056112999999996
30,58.595443
31,84.69055
32,96.52909
33,111.446014
34,145.42533799999998
35,72.634824
36,103.99843899999999
37,140.939123
38,123.42369
39,127.55408
40,165.691195
41,93.031951
42,104.711429
43,170.242751
44,93.04180099999999
45,155.412026
46,144.519432
47,93.097969
48,98.753409
49,68.40375800000001
50,89.035946
51,169.238561
52,152.772064
53,94.196263
54,136.195017
55,159.292932
56,135.637139
57,165.745632
58,152.300372
59,138.56339599999998
60,143.780263
61,159.756337
62,161.79317799999998
63,145.82980399999997
64,194.47313699999998
65,161.69268099999996
66,141.813682
67,133.209089
68,133.79962799999998
69,157.614014
70,152.45591
71,82.68755
72,232.255001
73,135.199758
74,215.85307699999998
75,143.35529
76,170.572023
77,195.870724
78,118.066712
79,159.512429
80,145.65439400000002
81,183.60522300000002
82,178.797388
83,175.057996
84,147.197536
85,136.913513
86,247.05695500000002
87,204.783854
88,181.359628
89,146.200388
90,235.68270299999998
91,196.598666
92,172.51114
93,346.427199
94,208.646835
95,318.73146299999996
96,421.776232
97,507.823045
98,563.9701249999999
99,579.919413
100,503.54223900000005
101,521.9818100000001
102,499.314918
103,502.75795200000005
104,518.1263620000001
105,527.579494
106,459.761698
107,476.77067600000004
108,448.346793
109,384.130354
110,245.068466
111,263.051886
112,291.856674
113,138.67575
114,259.100318
115,213.34601399999997
116,235.356295
117,337.63504
118,323.399085
119,342.943059
120,336.551127
121,332.51960499999996
122,341.325716
123,330.737367
124,339.128295
125,337.200295
126,314.596517
127,345.82935399999997
128,219.52288800000002
129,196.74266699999998
130,183.832025
131,221.85631899999998
132,216.558694
133,93.811073
134,85.120643
135,129.331574
136,162.307567
137,164.726087
138,110.062294
139,147.70021200000002
140,115.27850000000001
141,129.55700199999998
142,152.347064
143,156.750149
144,111.54648200000001
145,194.41400900000002
146,101.990316
147,92.148202
148,172.51860100000002
149,143.89798100000002
150,104.234524
