DayStepNumber,MinPrice(cents/kg),MaxPrice(cents/kg),MeanPrice(cents/kg),MedianPrice(cents/kg),QuantityPurchased(kg)
0,187.49504312385992,187.49504312385992,187.49504312385992,187.49504312385992,67.53245200000002
1,188.51337104791992,188.51337104791992,188.51337104791992,188.51337104791992,2.238568
2,110.17726989610462,121.52421749796827,114.96238220103517,115.13016970524922,28.845510000000026
3,111.78041358753028,133.81864896692002,114.81700972243696,113.85185738631714,27.229492
4,112.30907457322553,128.773524163432,121.47920698967074,126.47170416209555,33.84221500000001
5,126.42435332279798,133.19481073017394,128.61608971029298,128.7130633383925,27.132346000000013
6,125.79133015346542,134.25309867997615,129.07652382016403,128.56279649794942,22.668623000000007
7,129.91407543475896,193.12475859405177,138.9801842303847,133.76606493756464,24.494017000000003
8,115.37622002556988,191.02196752626554,125.78813377590556,119.3480941877478,23.898207000000006
9,110.7780077960023,189.63467136823976,124.20280336718362,114.53611045536161,37.924576
10,110.43755358731293,2000000.0,13546.384824938526,114.20992521091993,47.17482799999998
11,110.45655375552283,206.40686922060766,129.4590941359828,125.476239363037,28.604860000000006
12,131.96480938416423,213.98002853067047,150.04867991565249,143.41108972519748,10.514878000000001
13,156.2350817196275,158.1971280030489,157.21610486133818,157.21610486133818,0.254278
14,156.2350817196275,158.1971280030489,157.21610486133818,157.21610486133818,0
15,185.71481632804665,238.34114562643998,212.02798097724332,212.02798097724332,0.039509999999999997
16,136.56238340376862,212.6632190205983,165.79476579112028,156.9767303700571,1.08664
17,136.4596714615772,139.01300764571542,137.7363395536463,137.7363395536463,0.676809
18,146.52082805199396,2000000.0,41034.35028281452,159.48391006702312,9.862172000000001
19,146.92831661289088,512.952038984355,184.0725287788136,163.47588153895683,5.997306
20,145.9366701948674,2000000.0,59007.43938992252,164.68577030650226,18.756156999999998
21,158.04935486228962,326.5839320705421,177.11531445786264,175.29614057472543,159.03627799999987
22,158.42839036755387,2000000.0,11949.857236318658,177.50452630557777,52.68128900000001
23,158.13523643271552,24999.999999999996,441.54578383589853,172.5292857662997,45.910517000000006
24,170.32322605126083,312.77367696734643,200.8641394251597,198.0138351405683,118.91296200000008
25,170.34533731689058,1257.071024512885,207.69947018932302,196.57989159477825,68.10414800000004
26,170.67988986655527,247.000247000247,207.6130779957929,205.91864085434833,117.60500299999995
27,170.8459071410206,322.8410008071025,218.076534822935,203.0613645723699,153.35181700000018
28,170.95811287688315,2000000.0,6698.421305712745,218.7828174226134,147.72769900000006
29,217.44908067360893,2000000.0,6624.38779531817,250.8667571883877,158.80734299999995
30,199.31793038501274,1264.2225031605562,266.0635886631458,251.31452662959055,153.43681500000008
31,207.03053515544852,335.082227415017,265.6191316917088,271.0137844012596,160.176116
32,175.22496840169035,353.4464874334406,277.58377383145785,272.45931687018555,157.486543
33,175.00504218563248,10869.565217391304,298.4921875168287,279.878433005075,155.5000369999999
