DayStepNumber,QuantityProduced(kg)
0,0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,8.032128
7,16.015999
8,30.668672
9,54.911998
10,52.623998
11,39.139275000000005
12,55.398371999999995
13,80.991157
14,72.534424
15,81.686424
16,70.24642499999999
17,58.690106
18,50.140796
19,49.654422000000004
20,45.759996
21,53.110548
22,53.720487
23,38.895997
24,21.760125000000002
25,29.166814
26,36.217957
27,31.398679
28,53.84566
29,58.024588
30,53.597107
31,56.586119
32,63.235659
33,52.915531
34,72.777699
35,59.731273
36,64.16051
37,64.063998
38,55.641827000000006
39,62.749106
40,61.385957999999995
41,55.933363
42,48.58280800000001
43,59.536255
44,51.538256000000004
45,37.835071
46,52.477233999999996
47,48.787481
48,48.295463000000005
49,57.153581
50,67.763402
51,35.731402
52,53.11055
53,49.21612699999999
54,68.249956
55,52.623996
56,42.108850000000004
57,40.598936
58,52.233956
59,50.14097799999999
60,44.582026
61,40.926193
62,24.375583
63,45.174935000000005
64,64.98885
65,57.053235
66,48.935649999999995
67,59.974551
68,35.731402
69,48.582807
70,57.248253999999996
71,47.58624
72,56.08012599999999
73,59.731275
74,23.740741000000003
75,53.948792999999995
76,47.231996
77,24.486423
78,46.363748
79,55.450480999999996
80,41.136271
81,49.24375499999999
82,53.792125
83,33.579911
84,39.859773
85,56.71578900000001
86,38.694574
87,31.42422
88,46.489827000000005
89,36.109412
90,59.700210999999996
91,55.395803
92,16.264943000000002
93,45.808254999999996
94,52.494896000000004
95,39.046297
96,46.156288
97,67.568382
98,27.069937
99,59.419446
100,72.09612200000001
101,34.869721
102,54.140588
103,71.657825
104,26.154798000000003
105,67.92227700000001
106,67.80876500000001
107,37.337828
108,68.54149
109,95.219401
110,30.603425
111,59.87604399999999
112,90.20510399999999
113,35.561137
114,106.18584299999999
115,124.659268
116,31.464656000000005
117,138.448124
118,146.480251
119,110.663066
120,135.26267900000002
121,132.94528200000002
122,151.63733200000001
123,298.22265000000004
124,361.252753
125,346.762829
126,364.551719
127,364.21175900000003
128,321.11057
129,311.06949000000003
130,341.885105
131,299.127603
132,318.90659800000003
133,345.849835
134,302.47985100000005
135,352.156974
136,354.493232
137,288.531273
138,238.432574
139,176.270518
140,63.07709500000001
141,128.952351
142,275.840934
143,76.963658
144,306.452674
145,251.91729600000002
146,292.906275
147,294.365939
148,349.426693
149,389.281852
150,335.30865500000004
