DayStepNumber,MinPrice(cents/kg),MaxPrice(cents/kg),MeanPrice(cents/kg),MedianPrice(cents/kg),QuantityPurchased(kg)
0,-1,-1,-1,-1,0
1,119.70467343556084,119.84125854442918,119.7805540515988,119.84125854442918,58.83260699999999
2,121.2689203063041,246.28306998327866,239.75462535707462,241.52233384889064,51.93072900000011
3,93.07966023264596,636.3347120585428,106.93331789197144,99.76736712832756,21.243841999999994
4,92.54974548819992,216.12275772638858,98.51736944311803,93.91545261378444,42.06184600000001
5,95.37616358919578,127.20428537103605,121.92242328224054,122.00192713248164,36.335307
6,104.01117157027976,127.420998980632,110.13050578507517,106.76275314449671,29.351932999999995
7,104.3618620011503,384.5414343395501,119.94760921768327,109.66173289950626,33.29023800000001
8,95.75294645495234,164.50615253010463,121.02318739076713,108.10451211602108,35.27889500000001
9,95.73477637552924,153.5173462607732,128.85212568647623,139.27041455138823,48.79017499999999
10,123.86066403887767,159.87684538260837,138.43008054205805,139.19821610510792,57.525684000000005
11,107.64928321610249,2000000.0,36501.2357306691,143.79367015104972,31.834377
12,107.5145670551994,155.25109091614777,123.99033307644292,125.31767330252896,14.266188000000001
13,112.34119040810491,151.15525804361909,129.72390984559757,127.53834490736347,1.6735330000000002
14,120.2313250694336,123.52795849460594,121.87964178201977,121.87964178201977,0.156031
15,112.84089031462459,154.79138883596875,137.0729952730357,142.50379161874127,1.6281379999999999
16,121.1993706779847,243.842965130456,151.15268271752427,138.8165885823356,2.524883
17,120.66790825596168,183.86859524393233,146.10771328916508,147.09929344147176,1.7556040000000002
18,120.24931691707474,2118.64406779661,163.28476898831548,143.209934106778,69.209133
19,135.15493735212982,645.9948320413437,168.62072551981797,150.92164235010137,20.511151999999996
20,142.25050841385413,502.13406979663563,153.61291715919444,146.22506761245748,56.456210000000006
21,142.29912169405986,2000000.0,5610.76052725727,149.08113640118137,235.27053000000006
22,144.9153167585342,784.9293563579278,198.54609875872686,195.67556990509738,131.27626700000002
23,150.00067264875625,2000000.0,9516.960463101017,213.68046174628515,88.99514
24,174.58911718449707,2000000.0,5883.080334435275,236.77146392550242,176.76392199999984
25,149.8373961888892,762.7765064836002,241.13988752017767,240.26412483792527,107.49699999999999
